#Line    Trace        X           Y           Time        Flag            FaultName 
1811   4227     574262.500    4209240.405       1274.400   8                    F01
1811   4207     574262.500    4208982.156       1472.800   8                    F01
1811   4182     574262.500    4208678.033       1717.800   8                    F01
1811   4158     574262.500    4208369.494       1984.800   8                    F01
1811   4135     574262.500    4208082.364       2205.200   8                    F01
1811   4113     574262.500    4207807.122       2394.000   8                    F01
1811   4085     574262.500    4207461.206       2602.200   8                    F01
1811   4050     574262.500    4207023.883       2795.600   8                    F01
1811   4027     574262.500    4206736.413       2905.600   8                    F01
1811   3997     574262.500    4206361.273       3028.200   8                    F01
1811   3963     574262.500    4205940.600       3165.400   8                    F01
1811   3918     574262.500    4205377.893       3322.200   8                    F01
1811   3882     574262.500    4204923.578       3442.200   8                    F01
1811   3842     574262.500    4204419.653       3599.200   8                    F01
1811   3800     574262.500    4203894.662       3743.600   8                    F01
1811   3785     574262.500    4203707.092       3787.800   8                    F01
1821   4256     574387.500    4209602.972       1147.000   9                    F01
1821   4237     574387.500    4209361.374       1294.000   9                    F01
1821   4212     574387.500    4209048.755       1514.400   9                    F01
1821   4187     574387.500    4208740.558       1720.200   9                    F01
1821   4164     574387.500    4208448.669       1945.600   9                    F01
1821   4139     574387.500    4208131.976       2173.400   9                    F01
1821   4118     574387.500    4207877.801       2325.200   9                    F01
1821   4096     574387.500    4207598.828       2513.800   9                    F01
1821   4069     574387.500    4207256.988       2695.200   9                    F01
1821   4038     574387.500    4206869.616       2874.000   9                    F01
1821   4009     574387.500    4206511.126       2994.000   9                    F01
1821   3986     574387.500    4206223.993       3089.600   9                    F01
1821   3933     574387.500    4205565.460       3278.200   9                    F01
1821   3891     574387.500    4205031.976       3425.200   9                    F01
1821   3861     574387.500    4204657.174       3515.800   9                    F01
1821   3842     574387.500    4204419.653       3596.800   9                    F01
1821   3808     574387.500    4203994.565       3714.200   9                    F01
1821   3785     574387.500    4203707.092       3790.200   9                    F01
1861   4323     574887.500    4210440.579       1134.800   10                    F01
1861   4292     574887.500    4210052.868       1262.200   10                    F01
1861   4261     574887.500    4209665.493       1423.800   10                    F01
1861   4223     574887.500    4209186.377       1627.200   10                    F01
1861   4192     574887.500    4208794.586       1825.600   10                    F01
1861   4150     574887.500    4208278.088       2077.800   10                    F01
1861   4124     574887.500    4207952.899       2239.600   10                    F01
1861   4101     574887.500    4207665.429       2415.800   10                    F01
1861   4082     574887.500    4207427.908       2531.000   10                    F01
1861   4048     574887.500    4207002.820       2746.600   10                    F01
1861   4020     574887.500    4206644.668       2918.000   10                    F01
1861   3988     574887.500    4206248.800       3062.600   10                    F01
1861   3966     574887.500    4205977.978       3170.400   10                    F01
1861   3915     574887.500    4205332.019       3364.000   10                    F01
1861   3866     574887.500    4204723.776       3520.800   10                    F01
1861   3829     574887.500    4204261.306       3645.600   10                    F01
1861   3789     574887.500    4203757.043       3770.600   10                    F01
1851   4295     574762.500    4210086.169       1171.400   11                    F01
1851   4265     574762.500    4209715.445       1306.200   11                    F01
1851   4236     574762.500    4209352.878       1470.400   11                    F01
1851   4209     574762.500    4209015.454       1671.200   11                    F01
1851   4189     574762.500    4208757.208       1823.000   11                    F01
1851   4168     574762.500    4208503.039       1970.000   11                    F01
1851   4146     574762.500    4208227.798       2141.600   11                    F01
1851   4119     574762.500    4207890.374       2335.000   11                    F01
1851   4104     574762.500    4207702.807       2445.200   11                    F01
1851   4081     574762.500    4207407.177       2599.600   11                    F01
1851   4053     574762.500    4207057.184       2776.000   11                    F01
1851   4012     574762.500    4206548.846       2964.600   11                    F01
1851   3978     574762.500    4206119.674       3101.800   11                    F01
1851   3942     574762.500    4205677.935       3248.800   11                    F01
1851   3915     574762.500    4205332.019       3351.800   11                    F01
1851   3876     574762.500    4204852.899       3484.000   11                    F01
1851   3835     574762.500    4204331.985       3628.600   11                    F01
1851   3797     574762.500    4203865.439       3756.000   11                    F01
1851   3785     574762.500    4203711.169       3800.000   11                    F01
1841   4273     574637.500    4209807.190       1200.800   12                    F01
1841   4255     574637.500    4209582.245       1313.600   12                    F01
1841   4234     574637.500    4209319.580       1480.200   12                    F01
1841   4213     574637.500    4209061.328       1641.800   12                    F01
1841   4195     574637.500    4208831.964       1786.400   12                    F01
1841   4180     574637.500    4208648.810       1886.800   12                    F01
1841   4165     574637.500    4208457.165       1999.400   12                    F01
1841   4145     574637.500    4208211.148       2151.400   12                    F01
1841   4129     574637.500    4208007.269       2264.000   12                    F01
1841   4111     574637.500    4207790.475       2374.200   12                    F01
1841   4100     574637.500    4207648.779       2474.800   12                    F01
1841   4068     574637.500    4207252.911       2690.200   12                    F01
1841   4038     574637.500    4206873.694       2871.600   12                    F01
1841   4002     574637.500    4206423.459       3030.600   12                    F01
1841   3974     574637.500    4206073.803       3143.400   12                    F01
1841   3934     574637.500    4205573.956       3278.200   12                    F01
1841   3901     574637.500    4205157.022       3393.400   12                    F01
1841   3840     574637.500    4204403.003       3591.800   12                    F01
1841   3799     574637.500    4203890.585       3733.800   12                    F01
1841   3784     574637.500    4203694.519       3787.800   12                    F01
1831   4257     574512.500    4209607.049       1200.800   13                    F01
1831   4237     574512.500    4209361.374       1350.200   13                    F01
1831   4216     574512.500    4209094.629       1568.400   13                    F01
1831   4189     574512.500    4208765.362       1776.600   13                    F01
1831   4162     574512.500    4208427.942       2006.800   13                    F01
1831   4135     574512.500    4208090.518       2207.600   13                    F01
1831   4115     574512.500    4207836.346       2352.200   13                    F01
1831   4095     574512.500    4207582.177       2484.600   13                    F01
1831   4066     574512.500    4207223.687       2692.800   13                    F01
1831   4033     574512.500    4206811.511       2888.600   13                    F01
1831   3997     574512.500    4206365.350       3045.400   13                    F01
1831   3973     574512.500    4206057.153       3153.200   13                    F01
1831   3902     574512.500    4205173.672       3393.400   13                    F01
1831   3852     574512.500    4204544.702       3542.800   13                    F01
1831   3808     574512.500    4204003.058       3689.800   13                    F01
1831   3790     574512.500    4203774.032       3760.800   13                    F01
1911   4406     575512.500    4211469.494       1117.600   14                    F01
1911   4377     575512.500    4211115.423       1196.000   14                    F01
1911   4351     575512.500    4210782.080       1294.000   14                    F01
1911   4327     575512.500    4210486.114       1384.600   14                    F01
1911   4303     575512.500    4210181.988       1445.800   14                    F01
1911   4282     575512.500    4209927.820       1512.000   14                    F01
1911   4250     575512.500    4209519.378       1649.200   14                    F01
1911   4220     575512.500    4209148.657       1793.600   14                    F01
1911   4195     575512.500    4208831.964       1953.000   14                    F01
1911   4174     575512.500    4208573.715       2097.400   14                    F01
1911   4150     575512.500    4208277.746       2229.800   14                    F01
1911   4126     575512.500    4207973.626       2376.800   14                    F01
1911   4102     575512.500    4207669.507       2516.400   14                    F01
1911   4075     575512.500    4207336.163       2692.800   14                    F01
1911   4047     575512.500    4206990.246       2817.600   14                    F01
1911   4016     575512.500    4206594.378       2974.400   14                    F01
