TraceIdx,X,Y
1152068,565975,4201200
1152069,565975,4201212
1152070,565975,4201225
1152071,565975,4201237
1152072,565975,4201250
1152073,565975,4201262
1152074,565975,4201275
1152075,565975,4201287
1152076,565975,4201300
1152077,565975,4201312
1152078,565975,4201325
1152079,565975,4201337
1152080,565975,4201350
1152081,565975,4201362
1152082,565975,4201375
1152083,565975,4201387
1152084,565975,4201400
1152085,565975,4201412
1152086,565975,4201425
1152087,565975,4201437
1152088,565975,4201450
1152089,565975,4201462
1152090,565975,4201475
1153531,565987,4201175
1153532,565987,4201187
1153533,565987,4201200
1153534,565987,4201212
1153535,565987,4201225
1153536,565987,4201237
1153537,565987,4201250
1153538,565987,4201262
1153539,565987,4201275
1153540,565987,4201287
1153541,565987,4201300
1153542,565987,4201312
1153543,565987,4201325
1153544,565987,4201337
1153545,565987,4201350
1153546,565987,4201362
1153547,565987,4201375
1153548,565987,4201387
1153549,565987,4201400
1153550,565987,4201412
1153551,565987,4201425
1153552,565987,4201437
1153553,565987,4201450
1153554,565987,4201462
1153555,565987,4201475
1154996,566000,4201175
1154997,566000,4201187
1154998,566000,4201200
1154999,566000,4201212
1155000,566000,4201225
1155001,566000,4201237
1155002,566000,4201250
1155003,566000,4201262
1155004,566000,4201275
1155005,566000,4201287
1155006,566000,4201300
1155007,566000,4201312
1155008,566000,4201325
1155009,566000,4201337
1155010,566000,4201350
1155011,566000,4201362
1155012,566000,4201375
1155013,566000,4201387
1155014,566000,4201400
1155015,566000,4201412
1155016,566000,4201425
1155017,566000,4201437
1155018,566000,4201450
1155019,566000,4201462
1155020,566000,4201475
1156461,566012,4201175
1156462,566012,4201187
1156463,566012,4201200
1156464,566012,4201212
1156465,566012,4201225
1156466,566012,4201237
1156467,566012,4201250
1156468,566012,4201262
1156469,566012,4201275
1156470,566012,4201287
1156471,566012,4201300
1156472,566012,4201312
1156473,566012,4201325
1156474,566012,4201337
1156475,566012,4201350
1156476,566012,4201362
1156477,566012,4201375
1156478,566012,4201387
1156479,566012,4201400
1156480,566012,4201412
1156481,566012,4201425
1156482,566012,4201437
1156483,566012,4201450
1156484,566012,4201462
1156485,566012,4201475
1157926,566025,4201175
1157927,566025,4201187
1157928,566025,4201200
1157929,566025,4201212
1157930,566025,4201225
1157931,566025,4201237
1157932,566025,4201250
1157933,566025,4201262
1157934,566025,4201275
1157935,566025,4201287
1157936,566025,4201300
1157937,566025,4201312
1157938,566025,4201325
1157939,566025,4201337
1157940,566025,4201350
1157941,566025,4201362
1157942,566025,4201375
1157943,566025,4201387
1157944,566025,4201400
1157945,566025,4201412
1157946,566025,4201425
1157947,566025,4201437
1157948,566025,4201450
1157949,566025,4201462
1157950,566025,4201475
1159391,566037,4201175
1159392,566037,4201187
1159393,566037,4201200
1159394,566037,4201212
1159395,566037,4201225
1159396,566037,4201237
1159397,566037,4201250
1159398,566037,4201262
1159399,566037,4201275
1159400,566037,4201287
1159401,566037,4201300
1159402,566037,4201312
1159403,566037,4201325
1159404,566037,4201337
1159405,566037,4201350
1159406,566037,4201362
1159407,566037,4201375
1159408,566037,4201387
1159409,566037,4201400
1159410,566037,4201412
1159411,566037,4201425
1159412,566037,4201437
1159413,566037,4201450
1159414,566037,4201462
1159415,566037,4201475
1160856,566050,4201175
1160857,566050,4201187
1160858,566050,4201200
1160859,566050,4201212
1160860,566050,4201225
1160861,566050,4201237
1160862,566050,4201250
1160863,566050,4201262
1160864,566050,4201275
1160865,566050,4201287
1160866,566050,4201300
1160867,566050,4201312
1160868,566050,4201325
1160869,566050,4201337
1160870,566050,4201350
1160871,566050,4201362
1160872,566050,4201375
1160873,566050,4201387
1160874,566050,4201400
1160875,566050,4201412
1160876,566050,4201425
1160877,566050,4201437
1160878,566050,4201450
1160879,566050,4201462
1160880,566050,4201475
