X,Y
576986.75,4202636.0
576986.8,4202636.0
576986.9,4202636.0
576986.9,4202636.5
576986.94,4202636.5
576987.0,4202636.5
576987.06,4202636.5
576987.06,4202637.0
576987.1,4202637.0
576987.2,4202637.0
576987.25,4202637.0
576987.25,4202637.5
576987.3,4202637.5
576987.4,4202637.5
576987.4,4202638.0
576987.44,4202638.0
576987.5,4202638.0
576987.56,4202638.0
576987.56,4202638.5
576987.6,4202638.5
576987.7,4202638.5
576987.75,4202638.5
576987.75,4202639.0
576987.8,4202639.0
576987.9,4202639.0
576987.94,4202639.0
576987.94,4202639.5
576988.0,4202639.5
576988.06,4202639.5
576988.1,4202640.0
576988.2,4202640.0
576988.25,4202640.0
576988.25,4202640.5
576988.3,4202640.5
576988.4,4202640.5
576988.44,4202640.5
576988.44,4202641.0
576988.5,4202641.0
576988.56,4202641.0
576988.6,4202641.0
576988.6,4202641.5
576988.7,4202641.5
576988.75,4202641.5
576988.8,4202642.0
576988.9,4202642.0
576988.9,4202642.5
576988.94,4202642.5
576989.0,4202642.5
576989.0,4202643.0
576989.06,4202643.0
576989.1,4202643.0
576989.1,4202643.5
576989.2,4202643.5
576989.2,4202644.0
576989.25,4202644.0
576989.3,4202644.0
576989.3,4202644.5
576989.4,4202644.5
576989.44,4202645.0
576989.5,4202645.0
576989.5,4202645.5
576989.56,4202645.5
576989.6,4202645.5
576989.6,4202646.0
576989.7,4202646.0
576989.75,4202646.5
576989.8,4202646.5
576989.8,4202647.0
576989.9,4202647.0
576989.94,4202647.0
576989.94,4202647.5
576990.0,4202647.5
576990.06,4202648.0
576990.1,4202648.0
576990.1,4202648.5
576990.2,4202648.5
576990.25,4202648.5
576990.25,4202649.0
576990.3,4202649.0
576990.3,4202649.5
576990.4,4202649.5
576990.44,4202649.5
576990.44,4202650.0
576990.5,4202650.0
576990.56,4202650.5
576990.6,4202650.5
576990.6,4202651.0
576990.7,4202651.0
576990.75,4202651.5
576990.8,4202651.5
576990.8,4202652.0
576990.9,4202652.0
576990.9,4202652.5
576990.94,4202652.5
576991.0,4202652.5
576991.0,4202653.0
576991.06,4202653.0
576991.06,4202653.5
576991.1,4202653.5
576991.2,4202653.5
576991.2,4202654.0
576991.25,4202654.0
576991.25,4202654.5
576991.3,4202654.5
576991.4,4202655.0
576991.44,4202655.0
576991.44,4202655.5
576991.5,4202655.5
576991.56,4202656.0
576991.6,4202656.0
576991.6,4202656.5
576991.7,4202656.5
576991.7,4202657.0
576991.75,4202657.0
576991.8,4202657.0
576991.8,4202657.5
576991.9,4202657.5
576991.9,4202658.0
576991.94,4202658.0
576992.0,4202658.0
576992.0,4202658.5
576992.06,4202658.5
576992.06,4202659.0
576992.1,4202659.0
576992.2,4202659.0
576992.2,4202659.5
576992.25,4202659.5
576992.25,4202660.0
576992.3,4202660.0
576992.4,4202660.5
576992.44,4202660.5
576992.44,4202661.0
576992.5,4202661.0
576992.56,4202661.5
576992.6,4202661.5
576992.6,4202662.0
576992.7,4202662.0
576992.7,4202662.5
576992.75,4202662.5
576992.8,4202662.5
576992.8,4202663.0
576992.9,4202663.0
576992.9,4202663.5
576992.94,4202663.5
576993.0,4202663.5
576993.0,4202664.0
576993.06,4202664.0
576993.06,4202664.5
576993.1,4202664.5
576993.2,4202664.5
576993.2,4202665.0
576993.25,4202665.0
576993.25,4202665.5
576993.3,4202665.5
576993.4,4202666.0
576993.44,4202666.0
576993.44,4202666.5
576993.5,4202666.5
576993.56,4202667.0
576993.6,4202667.0
576993.6,4202667.5
576993.7,4202667.5
576993.7,4202668.0
576993.75,4202668.0
576993.8,4202668.0
576993.8,4202668.5
576993.9,4202668.5
576993.94,4202669.0
576994.0,4202669.0
576994.0,4202669.5
576994.06,4202669.5
576994.1,4202669.5
576994.1,4202670.0
576994.2,4202670.0
576994.25,4202670.0
576994.25,4202670.5
576994.3,4202670.5
576994.4,4202670.5
576994.4,4202671.0
576994.44,4202671.0
576994.5,4202671.5
576994.56,4202671.5
576994.56,4202672.0
576994.6,4202672.0
576994.7,4202672.0
576994.7,4202672.5
576994.75,4202672.5
576994.8,4202672.5
576994.8,4202673.0
576994.9,4202673.0
576994.94,4202673.5
576995.0,4202673.5
576995.0,4202674.0
576995.06,4202674.0
576995.1,4202674.0
576995.1,4202674.5
576995.2,4202674.5
576995.25,4202674.5
576995.25,4202675.0
576995.3,4202675.0
576995.4,4202675.0
576995.4,4202675.5
576995.44,4202675.5
576995.5,4202675.5
576995.5,4202676.0
576995.56,4202676.0
576995.56,4202676.5
576995.6,4202676.5
576995.7,4202676.5
576995.7,4202677.0
576995.75,4202677.0
576995.8,4202677.0
576995.8,4202677.5
576995.9,4202677.5
576995.94,4202677.5
576995.94,4202678.0
576996.0,4202678.0
576996.06,4202678.5
576996.1,4202678.5
576996.1,4202679.0
576996.2,4202679.0
576996.25,4202679.0
576996.25,4202679.5
576996.3,4202679.5
576996.4,4202679.5
576996.4,4202680.0
576996.44,4202680.0
576996.44,4202680.5
576996.5,4202680.5
576996.56,4202680.5
576996.56,4202681.0
576996.6,4202681.0
576996.7,4202681.0
576996.7,4202681.5
576996.75,4202681.5
576996.8,4202681.5
576996.8,4202682.0
576996.9,4202682.0
576996.9,4202682.5
576996.94,4202682.5
576997.0,4202682.5
576997.0,4202683.0
576997.06,4202683.0
576997.1,4202683.0
576997.1,4202683.5
576997.2,4202683.5
576997.25,4202684.0
576997.3,4202684.0
576997.3,4202684.5
576997.4,4202684.5
576997.44,4202684.5
576997.44,4202685.0
576997.5,4202685.0
576997.56,4202685.0
576997.56,4202685.5
576997.6,4202685.5
576997.6,4202686.0
576997.7,4202686.0
576997.75,4202686.0
576997.75,4202686.5
576997.8,4202686.5
576997.9,4202687.0
576997.94,4202687.0
576997.94,4202687.5
576998.0,4202687.5
576998.0,4202688.0
576998.06,4202688.0
576998.06,4202688.5
576998.1,4202688.5
576998.2,4202689.0
576998.25,4202689.0
576998.25,4202689.5
576998.3,4202689.5
576998.3,4202690.0
576998.4,4202690.0
576998.4,4202690.5
576998.44,4202690.5
576998.5,4202690.5
576998.5,4202691.0
576998.56,4202691.0
576998.56,4202691.5
576998.6,4202691.5
576998.6,4202692.0
576998.7,4202692.0
576998.75,4202692.0
576998.75,4202692.5
576998.8,4202692.5
576998.8,4202693.0
576998.9,4202693.0
576998.9,4202693.5
576998.94,4202693.5
576998.94,4202694.0
576999.0,4202694.0
576999.06,4202694.0
576999.06,4202694.5
576999.1,4202694.5
576999.1,4202695.0
576999.2,4202695.0
576999.2,4202695.5
576999.25,4202695.5
576999.25,4202696.0
576999.3,4202696.0
576999.3,4202696.5
576999.4,4202696.5
576999.4,4202697.0
576999.44,4202697.0
576999.44,4202697.5
576999.5,4202697.5
576999.5,4202698.0
576999.56,4202698.0
576999.56,4202698.5
576999.6,4202698.5
576999.6,4202699.0
576999.7,4202699.0
576999.7,4202699.5
576999.75,4202699.5
576999.75,4202700.0
576999.8,4202700.0
576999.8,4202700.5
576999.9,4202700.5
576999.9,4202701.0
576999.94,4202701.0
576999.94,4202701.5
577000.0,4202701.5
577000.0,4202702.0
577000.06,4202702.0
577000.06,4202702.5
577000.1,4202702.5
577000.1,4202703.0
577000.2,4202703.0
577000.2,4202703.5
577000.25,4202703.5
577000.25,4202704.0
577000.3,4202704.0
577000.3,4202704.5
577000.4,4202705.0
577000.44,4202705.5
577000.44,4202706.0
577000.5,4202706.0
577000.5,4202706.5
577000.5,4202707.0
577000.56,4202707.0
577000.56,4202707.5
577000.56,4202708.0
577000.6,4202708.0
577000.6,4202708.5
577000.6,4202709.0
577000.7,4202709.0
577000.7,4202709.5
577000.7,4202710.0
577000.75,4202710.0
577000.75,4202710.5
577000.75,4202711.0
577000.75,4202711.5
577000.8,4202711.5
577000.8,4202712.0
577000.8,4202712.5
577000.9,4202712.5
577000.9,4202713.0
577000.9,4202713.5
577000.94,4202713.5
577000.94,4202714.0
577000.94,4202714.5
577001.0,4202715.0
577001.0,4202715.5
577001.0,4202716.0
577001.06,4202716.0
577001.06,4202716.5
577001.06,4202717.0
577001.1,4202717.0
577001.1,4202717.5
577001.1,4202718.0
577001.1,4202718.5
577001.1,4202719.0
577001.1,4202719.5
577001.1,4202720.0
577001.1,4202720.5
577001.1,4202721.0
577001.1,4202721.5
577001.1,4202722.0
577001.1,4202722.5
577001.2,4202722.5
577001.2,4202723.0
577001.2,4202723.5
577001.2,4202724.0
577001.2,4202724.5
577001.2,4202725.0
577001.2,4202725.5
577001.2,4202726.0
577001.2,4202726.5
577001.2,4202727.0
577001.2,4202727.5
577001.2,4202728.0
577001.2,4202728.5
577001.2,4202729.0
577001.2,4202729.5
577001.2,4202730.0
577001.2,4202730.5
577001.2,4202731.0
577001.2,4202731.5
577001.1,4202731.5
577001.1,4202732.0
577001.1,4202732.5
577001.1,4202733.0
577001.06,4202733.0
577001.06,4202733.5
577001.06,4202734.0
577001.0,4202734.0
577001.0,4202734.5
577001.0,4202735.0
577001.0,4202735.5
577000.94,4202735.5
577000.94,4202736.0
577000.94,4202736.5
577000.9,4202736.5
577000.9,4202737.0
577000.9,4202737.5
577000.8,4202738.0
577000.8,4202738.5
577000.8,4202739.0
577000.75,4202739.0
577000.75,4202739.5
577000.75,4202740.0
577000.7,4202740.0
577000.7,4202740.5
577000.7,4202741.0
577000.7,4202741.5
577000.6,4202741.5
577000.6,4202742.0
577000.6,4202742.5
577000.56,4202742.5
577000.56,4202743.0
577000.56,4202743.5
577000.5,4202744.0
577000.5,4202744.5
577000.5,4202745.0
577000.44,4202745.0
577000.44,4202745.5
577000.44,4202746.0
577000.4,4202746.0
577000.4,4202746.5
577000.3,4202746.5
577000.3,4202747.0
577000.25,4202747.0
577000.25,4202747.5
577000.2,4202747.5
577000.2,4202748.0
577000.1,4202748.0
577000.1,4202748.5
577000.06,4202748.5
577000.06,4202749.0
577000.0,4202749.0
577000.0,4202749.5
576999.94,4202749.5
576999.9,4202750.0
576999.8,4202750.5
576999.75,4202751.0
576999.7,4202751.5
576999.7,4202752.0
576999.6,4202752.0
576999.6,4202752.5
576999.56,4202752.5
576999.56,4202753.0
576999.5,4202753.0
576999.5,4202753.5
576999.44,4202753.5
576999.44,4202754.0
576999.4,4202754.0
576999.3,4202754.5
576999.25,4202755.0
576999.2,4202755.5
576999.1,4202756.0
576999.06,4202756.5
576999.0,4202757.0
576998.94,4202757.5
576998.9,4202758.0
576998.8,4202758.5
576998.75,4202759.0
576998.7,4202759.0
576998.7,4202759.5
576998.6,4202759.5
576998.6,4202760.0
576998.56,4202760.0
