y,count
4198512,2041
4198525,2041
4198537,2041
4198550,2041
4198562,2041
4198575,2041
4198587,2041
4198600,2041
4198612,2041
4198625,2041
4198637,2041
4198650,2041
4198662,2041
4198675,2041
4198687,2041
4198700,2041
4198712,2041
4198725,2041
4198737,2041
4198750,2041
4198762,2041
4198775,2041
4198787,2041
4198800,2041
4198812,2041
4198825,2041
4198837,2041
4198850,2041
4198862,2041
4198875,2041
4198887,2041
4198900,2041
4198912,2041
4198925,2041
4198937,2041
4198950,2041
4198962,2041
4198975,2041
4198987,2041
4199000,2041
4199012,2041
4199025,2041
4199037,2041
4199050,2041
4199062,2041
4199075,2041
4199087,2041
4199100,2041
4199112,2041
4199125,2041
4199137,2041
4199150,2041
4199162,2041
4199175,2041
4199187,2041
4199200,2041
4199212,2041
4199225,2041
4199237,2041
4199250,2041
4199262,2041
4199275,2041
4199287,2041
4199300,2041
4199312,2041
4199325,2041
4199337,2041
4199350,2041
4199362,2041
4199375,2041
4199387,2041
4199400,2041
4199412,2041
4199425,2041
4199437,2041
4199450,2041
4199462,2041
4199475,2041
4199487,2041
4199500,2041
4199512,2041
4199525,2041
4199537,2041
4199550,2041
4199562,2041
4199575,2041
4199587,2041
4199600,2041
4199612,2041
4199625,2041
4199637,2041
4199650,2041
4199662,2041
4199675,2041
4199687,2041
4199700,2041
4199712,2041
4199725,2041
4199737,2041
4199750,2041
4199762,2041
4199775,2041
4199787,2041
4199800,2041
4199812,2041
4199825,2041
4199837,2041
4199850,2041
4199862,2041
4199875,2041
4199887,2041
4199900,2041
4199912,2041
4199925,2041
4199937,2041
4199950,2041
4199962,2041
4199975,2041
4199987,2041
4200000,2041
4200012,2041
4200025,2041
4200037,2041
4200050,2041
4200062,2041
4200075,2041
4200087,2041
4200100,2041
4200112,2041
4200125,2041
4200137,2041
4200150,2041
4200162,2041
4200175,2041
4200187,2041
4200200,2041
4200212,2041
4200225,2041
4200237,2041
4200250,2041
4200262,2041
4200275,2041
4200287,2041
4200300,2041
4200312,2041
4200325,2041
4200337,2041
4200350,2041
4200362,2041
4200375,2041
4200387,2041
4200400,2041
4200412,2041
4200425,2041
4200437,2041
4200450,2041
4200462,2041
4200475,2041
4200487,2041
4200500,2041
4200512,2041
4200525,2041
4200537,2041
4200550,2041
4200562,2041
4200575,2041
4200587,2041
4200600,2041
4200612,2041
4200625,2041
4200637,2041
4200650,2041
4200662,2041
4200675,2041
4200687,2041
4200700,2041
4200712,2041
4200725,2041
4200737,2041
4200750,2041
4200762,2041
4200775,2041
4200787,2041
4200800,2041
4200812,2041
4200825,2041
4200837,2041
4200850,2041
4200862,2041
4200875,2041
4200887,2041
4200900,2041
4200912,2041
4200925,2041
4200937,2041
4200950,2041
4200962,2041
4200975,2041
4200987,2041
4201000,2041
4201012,2041
4201025,2041
4201037,2041
4201050,2041
4201062,2041
4201075,2041
4201087,2041
4201100,2041
4201112,2041
4201125,2041
4201137,2041
4201150,2041
4201162,2041
4201175,2041
4201187,2041
4201200,2041
4201212,2041
4201225,2041
4201237,2041
4201250,2041
4201262,2041
4201275,2041
4201287,2041
4201300,2041
4201312,2041
4201325,2041
4201337,2041
4201350,2041
4201362,2041
4201375,2041
4201387,2041
4201400,2041
4201412,2041
4201425,2041
4201437,2041
4201450,2041
4201462,2041
4201475,2041
4201487,2041
4201500,2041
4201512,2041
4201525,2041
4201537,2041
4201550,2041
4201562,2041
4201575,2041
4201587,2041
4201600,2041
4201612,2041
4201625,2041
4201637,2041
4201650,2041
4201662,2041
4201675,2041
4201687,2041
4201700,2041
4201712,2041
4201725,2041
4201737,2041
4201750,2041
4201762,2041
4201775,2041
4201787,2041
4201800,2041
4201812,2041
4201825,2041
4201837,2041
4201850,2041
4201862,2041
4201875,2041
4201887,2041
4201900,2041
4201912,2041
4201925,2041
4201937,2041
4201950,2041
4201962,2041
4201975,2041
4201987,2041
4202000,2041
4202012,2041
4202025,2041
4202037,2041
4202050,2041
4202062,2041
4202075,2041
4202087,2041
4202100,2041
4202112,2041
4202125,2041
4202137,2041
4202150,2041
4202162,2041
4202175,2041
4202187,2041
4202200,2041
4202212,2041
4202225,2041
4202237,2041
4202250,2041
4202262,2041
4202275,2041
4202287,2041
4202300,2041
4202312,2041
4202325,2041
4202337,2041
4202350,2041
4202362,2041
4202375,2041
4202387,2041
4202400,2041
4202412,2041
4202425,2041
4202437,2041
4202450,2041
4202462,2041
4202475,2041
4202487,2041
4202500,2041
4202512,2041
4202525,2041
4202537,2041
4202550,2041
4202562,2041
4202575,2041
4202587,2041
4202600,2041
4202612,2041
4202625,2041
4202637,2041
4202650,2041
4202662,2041
4202675,2041
4202687,2041
4202700,2041
4202712,2041
4202725,2041
4202737,2041
4202750,2041
4202762,2041
4202775,2041
4202787,2041
4202800,2041
4202812,2041
4202825,2041
4202837,2041
4202850,2041
4202862,2041
4202875,2041
4202887,2041
4202900,2041
4202912,2041
4202925,2041
4202937,2041
4202950,2041
4202962,2041
4202975,2041
4202987,2041
4203000,2041
4203012,2041
4203025,2041
4203037,2041
4203050,2041
4203062,2041
4203075,2041
4203087,2041
4203100,2041
4203112,2041
4203125,2041
4203137,2041
4203150,2041
4203162,2041
4203175,2041
4203187,2041
4203200,2041
4203212,2041
4203225,2041
4203237,2041
4203250,2041
4203262,2041
4203275,2041
4203287,2041
4203300,2041
4203312,2041
4203325,2041
4203337,2041
4203350,2041
4203362,2041
4203375,2041
4203387,2041
4203400,2041
4203412,2041
4203425,2041
4203437,2041
4203450,2041
4203462,2041
4203475,2041
4203487,2041
4203500,2041
4203512,2041
4203525,2041
4203537,2041
4203550,2041
4203562,2041
4203575,2041
4203587,2041
4203600,2041
4203612,2041
4203625,2041
4203637,2041
4203650,2041
4203662,2041
4203675,2041
4203687,2041
4203700,2041
4203712,2041
4203725,2041
4203737,2041
4203750,2041
4203762,2041
4203775,2041
4203787,2041
4203800,2041
4203812,2041
4203825,2041
4203837,2041
4203850,2041
4203862,2041
4203875,2041
4203887,2041
4203900,2041
4203912,2041
4203925,2041
4203937,2041
4203950,2041
4203962,2041
4203975,2041
4203987,2041
4204000,2041
4204012,2041
4204025,2041
4204037,2041
4204050,2041
4204062,2041
4204075,2041
4204087,2041
4204100,2041
4204112,2041
4204125,2041
4204137,2041
4204150,2041
4204162,2041
4204175,2041
4204187,2041
4204200,2041
4204212,2041
4204225,2041
4204237,2041
4204250,2041
4204262,2041
4204275,2041
4204287,2041
4204300,2041
4204312,2041
4204325,2041
4204337,2041
4204350,2041
4204362,2041
4204375,2041
4204387,2041
4204400,2041
4204412,2041
4204425,2041
4204437,2041
4204450,2041
4204462,2041
4204475,2041
4204487,2041
4204500,2041
4204512,2041
4204525,2041
4204537,2041
4204550,2041
4204562,2041
4204575,2041
4204587,2041
4204600,2041
4204612,2041
4204625,2041
4204637,2041
4204650,2041
4204662,2041
4204675,2041
4204687,2041
4204700,2041
4204712,2041
4204725,2041
4204737,2041
4204750,2041
4204762,2041
4204775,2041
4204787,2041
4204800,2041
4204812,2041
4204825,2041
4204837,2041
4204850,2041
4204862,2041
4204875,2041
4204887,2041
4204900,2041
4204912,2041
4204925,2041
4204937,2041
4204950,2041
4204962,2041
4204975,2041
4204987,2041
4205000,2041
4205012,2041
4205025,2041
4205037,2041
4205050,2041
4205062,2041
4205075,2041
4205087,2041
4205100,2041
4205112,2041
4205125,2041
4205137,2041
4205150,2041
4205162,2041
4205175,2041
4205187,2041
4205200,2041
4205212,2041
4205225,2041
4205237,2041
4205250,2041
4205262,2041
4205275,2041
4205287,2041
4205300,2041
4205312,2041
4205325,2041
4205337,2041
4205350,2041
4205362,2041
4205375,2041
4205387,2041
4205400,2041
4205412,2041
4205425,2041
4205437,2041
4205450,2041
4205462,2041
4205475,2041
4205487,2041
4205500,2041
4205512,2041
4205525,2041
4205537,2041
4205550,2041
4205562,2041
4205575,2041
4205587,2041
4205600,2041
4205612,2041
4205625,2041
4205637,2041
4205650,2041
4205662,2041
4205675,2041
4205687,2041
4205700,2041
4205712,2041
4205725,2041
4205737,2041
4205750,2041
4205762,2041
4205775,2041
4205787,2041
4205800,2041
4205812,2041
4205825,2041
4205837,2041
4205850,2041
