  574262.500 4205377.893    3322.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574262.500 4204923.578    3442.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574262.500 4204419.653    3599.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574262.500 4203894.662    3743.600 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574262.500 4203707.092    3787.800 43 1 3F01                                               LM   TIME        futai                   meters              ms    
  574387.500 4209602.972    1147.000 43 1 1F01                                               LM   TIME        futai                   meters              ms    
  574387.500 4209361.374    1294.000 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574387.500 4209048.755    1514.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574387.500 4208740.558    1720.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574387.500 4208448.669    1945.600 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574387.500 4208131.976    2173.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574387.500 4207877.801    2325.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574387.500 4207598.828    2513.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574387.500 4207256.988    2695.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574387.500 4206869.616    2874.000 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574387.500 4206511.126    2994.000 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574387.500 4206223.993    3089.600 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574387.500 4205565.460    3278.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574387.500 4205031.976    3425.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574387.500 4204657.174    3515.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574387.500 4204419.653    3596.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574387.500 4203994.565    3714.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574387.500 4203707.092    3790.200 43 1 3F01                                               LM   TIME        futai                   meters              ms    
  574887.500 4210440.579    1134.800 43 1 1F01                                               LM   TIME        futai                   meters              ms    
  574887.500 4210052.868    1262.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574887.500 4209665.493    1423.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574887.500 4209186.377    1627.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574887.500 4208794.586    1825.600 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574887.500 4208278.088    2077.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574887.500 4207952.899    2239.600 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574887.500 4207665.429    2415.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574887.500 4207427.908    2531.000 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574887.500 4207002.820    2746.600 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574887.500 4206644.668    2918.000 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574887.500 4206248.800    3062.600 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574887.500 4205977.978    3170.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574887.500 4205332.019    3364.000 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574887.500 4204723.776    3520.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574887.500 4204261.306    3645.600 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574887.500 4203757.043    3770.600 43 1 3F01                                               LM   TIME        futai                   meters              ms    
  574762.500 4210086.169    1171.400 43 1 1F01                                               LM   TIME        futai                   meters              ms    
  574762.500 4209715.445    1306.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574762.500 4209352.878    1470.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574762.500 4209015.454    1671.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574762.500 4208757.208    1823.000 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574762.500 4208503.039    1970.000 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574762.500 4208227.798    2141.600 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574762.500 4207890.374    2335.000 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574762.500 4207702.807    2445.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574762.500 4207407.177    2599.600 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574762.500 4207057.184    2776.000 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574762.500 4206548.846    2964.600 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574762.500 4206119.674    3101.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574762.500 4205677.935    3248.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574762.500 4205332.019    3351.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574762.500 4204852.899    3484.000 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574762.500 4204331.985    3628.600 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574762.500 4203865.439    3756.000 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574762.500 4203711.169    3800.000 43 1 3F01                                               LM   TIME        futai                   meters              ms    
  574637.500 4209807.190    1200.800 43 1 1F01                                               LM   TIME        futai                   meters              ms    
  574637.500 4209582.245    1313.600 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574637.500 4209319.580    1480.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574637.500 4209061.328    1641.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574637.500 4208831.964    1786.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574637.500 4208648.810    1886.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574637.500 4208457.165    1999.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574637.500 4208211.148    2151.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574637.500 4208007.269    2264.000 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574637.500 4207790.475    2374.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574637.500 4207648.779    2474.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574637.500 4207252.911    2690.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574637.500 4206873.694    2871.600 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574637.500 4206423.459    3030.600 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574637.500 4206073.803    3143.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574637.500 4205573.956    3278.200 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574637.500 4205157.022    3393.400 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574637.500 4204403.003    3591.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574637.500 4203890.585    3733.800 43 1 2F01                                               LM   TIME        futai                   meters              ms    
  574637.500 4203694.519    3787.800 43 1 3F01                                               LM   TIME        futai                   meters              ms    
  574512.500 4209607.049    1200.800 43 1 1F01                                               LM   TIME        futai                   meters              ms    
