fault_name,cell_i,cell_j,area_3d,cx,cy,cz,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,bbox_zmin,bbox_zmax,strike_deg,dip_deg
fp_base_main,18,46,103009.32207761248,561714.3125,4207962.0,1295.8638916015625,561550.0,561850.0,4207775.0,4208075.0,1235.0487060546875,1390.8519287109375,5.3552856,64.10075
fp_base_main,18,47,90831.86394726801,561694.375,4208161.0,1230.56640625,561550.0,561850.0,4208075.0,4208375.0,1205.3448486328125,1249.63720703125,155.77505,83.04489
fp_base_main,18,48,90125.2957931621,561735.875,4208547.0,1208.7945556640625,561550.0,561850.0,4208375.0,4208675.0,1196.87548828125,1218.72607421875,122.33566,86.97836
fp_base_main,18,49,90125.27201321322,561701.5625,4208847.0,1198.7933349609375,561550.0,561850.0,4208675.0,4208975.0,1188.40625,1210.2545166015625,122.341736,86.9788
fp_base_main,18,50,90587.28329114821,561709.875,4209151.0,1190.419189453125,561550.0,561850.0,4208975.0,4209275.0,1177.6181640625,1201.782958984375,116.146545,87.82961
fp_base_main,18,51,90370.7143120488,561705.6875,4209427.0,1206.0181884765625,561550.0,561850.0,4209275.0,4209575.0,1188.99951171875,1222.070556640625,15.018723,84.85703
fp_base_main,18,52,90768.76037680884,561703.25,4209724.5,1227.0908203125,561550.0,561850.0,4209575.0,4209875.0,1214.4227294921875,1242.1383056640625,14.316376,85.81485
fp_base_main,18,53,43686.09706936278,561704.125,4209924.0,1256.3260498046875,561550.0,561850.0,4209875.0,4210019.0,1237.1766357421875,1309.6502685546875,176.51569,60.99898
fp_base_main,19,32,1805.2707083311805,562130.4375,4203869.5,2805.77587890625,562095.75,562150.0,4203847.5,4203875.0,2790.998779296875,2831.0791015625,23.174591,25.525616
fp_base_main,19,33,82714.53709482317,562025.5,4204033.0,2785.796875,561850.0,562150.0,4203875.0,4204175.0,2752.621826171875,2824.9228515625,30.220703,82.23387
fp_base_main,19,34,92788.85507300292,561969.0,4204308.0,2746.968505859375,561850.0,562150.0,4204175.0,4204475.0,2689.23583984375,2789.30908203125,28.990616,75.904785
fp_base_main,19,35,93596.48640275661,561996.75,4204647.0,2664.23095703125,561850.0,562150.0,4204475.0,4204775.0,2610.00830078125,2722.176513671875,23.320099,74.44589
fp_base_main,19,36,95412.2711230712,562015.875,4204964.0,2564.4580078125,561850.0,562150.0,4204775.0,4205075.0,2511.7734375,2644.326416015625,18.847946,70.66505
fp_base_main,19,37,97890.05177606056,562014.3125,4205201.0,2475.45263671875,561850.0,562150.0,4205075.0,4205375.0,2393.40380859375,2543.8056640625,12.670471,67.01746
fp_base_main,19,38,97868.8755378788,562003.3125,4205497.5,2353.9658203125,561850.0,562150.0,4205375.0,4205675.0,2275.08837890625,2415.239013671875,7.232239,67.054405
fp_base_main,19,39,97026.02723284731,562007.25,4205809.5,2225.10595703125,561850.0,562150.0,4205675.0,4205975.0,2149.72607421875,2284.25732421875,3.7248688,67.95831
